question,answer
What are your opening hours?,"Happy Paws Pet Salon is open Monday to Saturday from 8:00 AM to 7:00 PM, and Sunday from 9:00 AM to 5:00 PM. We are closed on Khmer New Year and Pchum Ben public holidays."
Where are you located?,"We're on Street 57, Boeung Keng Kang 1 (BKK1), Chamkarmon, Phnom Penh, near the Independence Monument. Tuk-tuk and car parking is available in front of the shop."
How can I contact you?,"You can message us right here, call or Telegram us at +855 12 345 678, or email hello@happypawspp.com. We usually reply within a couple of hours during business hours."
"Do I need an appointment, or do you take walk-ins?","Appointments are recommended, especially on weekends, as we book up fast. We do accept walk-ins for nail trims and quick services when we have an open slot."
How much does a dog bath cost?,"Our basic bath is priced by weight: small dogs (under 10 kg) $8, medium (10-25 kg) $12, and large (over 25 kg) $18. It includes shampoo, blow-dry, ear cleaning, and a nail trim."
How much does a full grooming session cost?,"Full grooming starts at $15 for small dogs, $22 for medium, and $30 for large breeds. It includes a bath, haircut/styling, nail trim, ear cleaning, and gland expression. Final price depends on coat condition and breed."
Do you groom cats?,"Yes, we groom cats too. A cat bath is $12 and includes blow-dry and nail trim. A full cat groom with a lion cut or sanitary trim starts at $20. We use gentle, low-stress handling for nervous cats."
How much is a nail trim on its own?,A standalone nail trim is $3 for dogs and cats. It's free when booked as part of any bath or grooming package.
Do you offer de-shedding treatments?,"Yes, our de-shedding treatment removes loose undercoat and reduces shedding noticeably. It's $5 as an add-on for small/medium pets and $9 for large or double-coated breeds."
Do you do teeth brushing?,"We offer a teeth-brushing add-on for $3 using pet-safe toothpaste. For deep dental cleaning under anesthesia, we recommend a licensed veterinary clinic in Phnom Penh."
Do you offer flea and tick treatments?,"Yes, we have a medicated flea and tick bath for $5 on top of the regular bath price. If we find fleas during grooming, we'll let you know before applying any treatment."
What payment methods do you accept?,"We accept cash in US dollars and Khmer riel, ABA Pay, Wing, and most QR/KHQR mobile payments. Card payments are also welcome."
Do my pet's vaccinations need to be up to date?,"Yes. For everyone's safety we require proof of a current rabies vaccination on your first visit, plus core vaccines for dogs and cats. You can show us the vaccine book or send a photo."
What is your cancellation policy?,Please give us at least 24 hours' notice to cancel or reschedule. Cancellations with less notice or no-shows may be charged 50% of the service price.
How long does a grooming appointment take?,Most full grooms take 2 to 3 hours depending on your pet's size and coat. We don't keep pets in cages all day - we'll Telegram or call you when your pet is ready for pickup.
Do you offer a discount for first-time customers?,"Yes! New customers get 15% off their first full grooming service. Just mention it when you book, or show this chat at check-in."
Do you offer pickup and drop-off service?,We offer pickup and drop-off across Phnom Penh by tuk-tuk or car. The fee is $3 to $6 round-trip depending on the district. Please book it at least a day in advance.
What breeds or sizes do you accept?,"We groom dogs and cats of all breeds and sizes, from local Khmer dogs to Golden Retrievers and Persian cats. For very large or anxious pets, please mention it when booking so we can allow extra time."
Do you sell gift cards or pet products?,"Yes, we sell gift vouchers in any amount, plus shampoos, brushes, and treats. You can buy them in-store or ask us to arrange delivery within Phnom Penh."
My dog is anxious or reactive. Can you still groom him?,"Absolutely. We use gentle, low-stress handling and can schedule quieter time slots for anxious pets. Please tell us about any behavior concerns when booking so our groomers are prepared."
